discovered_ts_ms,condition_id,market_slug,coin,timeframe,question,token_id_up,token_id_down,end_date,end_ts_ms
1773171905350,0xba1a66751ae90517b20a4fd4c3fcbc0c93d8745b3ef18cb5de56c45b0d5f1ce6,sol-updown-15m-1773179100,SOL,15m,"Solana Up or Down - March 10, 5:45PM-6:00PM ET",38575435540412137047768859210823070440513762737192509990107638540476644943288,41457065171871435076061335781826029457807142845872970066185276733738747268160,2026-03-10T22:00:00Z,1773180000000
1773171905350,0xfa32ad3dc998e94432c56f17c7e7f4bd479e05781a5b1b608d5a8845536d44e2,sol-updown-5m-1773179400,SOL,5m,"Solana Up or Down - March 10, 5:50PM-5:55PM ET",106909243405548701847371306218994208365753726223483042068365600699637802956683,7333367918358072174062675646488318426077498448374582723392935349991605020855,2026-03-10T21:55:00Z,1773179700000
1773171905350,0x9fbc5ee002e52c0bc1ae5587777334389d19c48cfe9c41a553cf3d6784cfea4e,sol-updown-5m-1773179700,SOL,5m,"Solana Up or Down - March 10, 5:55PM-6:00PM ET",77625667291775827407723333793596998338927545097096019602040630777956205199379,55278100089577955785877722490870899984663349000161639175485470355754668001120,2026-03-10T22:00:00Z,1773180000000
1773171905350,0x4f7ad7d6bf69b842379a7b79e69fce8ac4ba1da09e8a6fff54c668d239070975,sol-updown-15m-1773180000,SOL,15m,"Solana Up or Down - March 10, 6:00PM-6:15PM ET",93211398723991564353210469711986843926188771356154259661926965492596438649909,46366141306145864179504342433762231954300620456553602911287172360283759525176,2026-03-10T22:15:00Z,1773180900000
1773171905350,0x672103a53992f5485c12c1a5bc85c4ab81c7d90fb7e29a081191ba4480c1c8e5,sol-updown-5m-1773180000,SOL,5m,"Solana Up or Down - March 10, 6:00PM-6:05PM ET",949083026740095870764118886483194907816050659627416342964395738407533306236,78233601223154327395790697984258602688927300514365108066826348819301572555663,2026-03-10T22:05:00Z,1773180300000
1773171905350,0x3d0d54580af0b99fd7f21197d036a3bfe8623fd87f323766939df10ee123ab2d,sol-updown-5m-1773180300,SOL,5m,"Solana Up or Down - March 10, 6:05PM-6:10PM ET",61134508387347391752654714743317319759082581952245506829914797893196810158111,87710039844072796002480695398167277555685651985973046556423604513120388743284,2026-03-10T22:10:00Z,1773180600000
1773171905350,0x11cb8cf9fbf5014738c0ba5cfd3c07ecdc196794e006bb84bbda285d35a3270c,sol-updown-5m-1773180600,SOL,5m,"Solana Up or Down - March 10, 6:10PM-6:15PM ET",71633954520323325650127908756234445157120814611783198748342528448103615110498,45739746032532187285985817118246242721434514716894035568843067688067493397300,2026-03-10T22:15:00Z,1773180900000
1773171905350,0x89015924e6954dd8e1d0997de76b2ec63bfe3dfbf744fe700df809246a248d68,sol-updown-5m-1773180900,SOL,5m,"Solana Up or Down - March 10, 6:15PM-6:20PM ET",44230251218636370560658480714225719209131784260829643726502979700392443543164,109059575561407877334323662780523720218834566299606282067821363387062954719091,2026-03-10T22:20:00Z,1773181200000
1773171905350,0xb561d5eb528ec4b84a7fa3a9e030cb56cf2aca21fdfefe382a59c957374ae710,sol-updown-15m-1773180900,SOL,15m,"Solana Up or Down - March 10, 6:15PM-6:30PM ET",14672419547676920720607734929100419651048286560569243072277850886790671264704,42609184161258268018872963406384296961556262273700240587852213722339440383955,2026-03-10T22:30:00Z,1773181800000
1773171905350,0x95aca9780536d568e702a145b679fafebcb43c651e4c80d4b6435c6a82a1100f,sol-updown-5m-1773181200,SOL,5m,"Solana Up or Down - March 10, 6:20PM-6:25PM ET",109584074614308137876523744316397661994919377544752917988765298126147374995095,76696762271472072784328952991624082330837840172225065391960540224247207717604,2026-03-10T22:25:00Z,1773181500000
