timestamp_ms,condition_id,token_id,outcome,best_bid,best_ask,bid_depth_3,ask_depth_3,mid_price,spread,bid_1_price,bid_1_size,bid_2_price,bid_2_size,bid_3_price,bid_3_size,bid_4_price,bid_4_size,bid_5_price,bid_5_size,ask_1_price,ask_1_size,ask_2_price,ask_2_size,ask_3_price,ask_3_size,ask_4_price,ask_4_size,ask_5_price,ask_5_size,coin,timeframe,market_slug
1773171905926,0x8d45525de0248de242a3aa9021a946ad9348008027feb74383b320ec54c3b233,50330172265290168781673864199469907603955523757125434820516569959659731225011,Up,0.5,0.51,1975.62,3157.95,0.505,0.010000000000000009,0.5,151.62,0.49,875.0,0.48,949.0,0.47,1074.0,0.46,821.0,0.51,1139.95,0.52,944.0,0.53,1074.0,0.54,821.0,0.55,1066.0,BTC,5m,btc-updown-5m-1773175200
1773171905926,0xe2f450371e53b85d91018e8fea8d448beed2c5e716a46b66e22a4509e89ad41b,19291470255959690608924821038785932380509576368715647481417666080541618453159,Up,0.49,0.5,3412.1499999999996,2136.2,0.495,0.010000000000000009,0.49,1085.37,0.48,838.0,0.47,1488.78,0.46,1341.45,0.45,1335.83,0.5,145.0,0.51,1101.12,0.52,890.08,0.53,1435.59,0.54,1352.9,BTC,15m,btc-updown-15m-1773173700
1773171905926,0x71ccbf421552229458b50f16d9bde5029da1e61904fc921d4af02d9bb74e3174,81210486279113045952414995760347766001039611032527366806965895827410363765565,Up,0.5,0.51,2176.04,3234.48,0.505,0.010000000000000009,0.5,255.04,0.49,940.0,0.48,981.0,0.47,1079.0,0.46,821.0,0.51,1179.48,0.52,976.0,0.53,1079.0,0.54,821.0,0.55,1066.0,BTC,5m,btc-updown-5m-1773175500
1773171905926,0x12461a6cafcdf59d51d81788011930944fe57255c5c9d8adf9635ad0102cfe8e,17060322463739934472541467338505394137709288636181223683594669161548377725851,Down,0.49,0.5,3462.83,1933.04,0.495,0.010000000000000009,0.49,1223.92,0.48,823.0,0.47,1415.91,0.46,1289.4,0.45,1767.29,0.5,127.55,0.51,987.49,0.52,818.0,0.53,1415.91,0.54,1289.4,BTC,5m,btc-updown-5m-1773173400
1773171905926,0x3eee85b0daa076a1d6a8da1d39f0382ba8d120a714d21eb92dcdf797dfd0a553,48207239015510392075090108975675173686835903614182915932805444842499629708770,Up,0.5,0.51,1250.15,3238.08,0.505,0.010000000000000009,0.5,165.11,0.49,751.04,0.48,334.0,0.47,1154.91,0.46,1513.07,0.51,1401.17,0.52,631.0,0.53,1205.91,0.54,909.9,0.55,2171.35,BTC,5m,btc-updown-5m-1773172200
1773171905926,0x31a0e5c7a701b5691dc6f1e7beba6afbbe2079d6031f78788c6ab5da4864667c,101152519950659417795055490293312034051226470483317525196129242687952003047826,Up,0.5,0.51,2530.53,3714.77,0.505,0.010000000000000009,0.5,113.53,0.49,1441.0,0.48,976.0,0.47,1079.0,0.46,821.0,0.51,1654.77,0.52,981.0,0.53,1079.0,0.54,821.0,0.55,1066.0,BTC,5m,btc-updown-5m-1773176100
1773171905926,0xd16dae3e21c1df9da4151d3522b6287660198c012f6cf3bcb7103cbfb81e02e2,17881217293106327618547911966001055169302298908072848338136545399571139295018,Up,0.5,0.51,2563.82,3682.8199999999997,0.505,0.010000000000000009,0.5,149.82,0.49,1433.0,0.48,981.0,0.47,1079.0,0.46,821.0,0.51,1627.82,0.52,976.0,0.53,1079.0,0.54,821.0,0.55,1076.0,BTC,5m,btc-updown-5m-1773176400
1773171905926,0x118ae95d535c988e733bbc96d3f54fef2adc6b39b8faadf06bb25a3d82e5ef60,77923135284559590663288094101573188414088668460558480700614637111580087385595,Up,0.5,0.51,2056.58,3274.05,0.505,0.010000000000000009,0.5,72.24,0.49,1003.34,0.48,981.0,0.47,1079.0,0.46,821.0,0.51,1219.05,0.52,976.0,0.53,1079.0,0.54,821.0,0.55,1066.0,BTC,5m,btc-updown-5m-1773174300
1773171905926,0xe5c5861528e93cc7e7f69a34e2efabcd469bee19921bc3ac1f865f09aa78bef6,105519135207053594993279203126362983512281822253427714625760679405918718039910,Up,0.5,0.51,1940.83,2907.2200000000003,0.505,0.010000000000000009,0.5,385.67,0.49,964.16,0.48,591.0,0.47,1175.91,0.46,849.9,0.51,1139.06,0.52,592.25,0.53,1175.91,0.54,849.4,0.55,1724.49,BTC,5m,btc-updown-5m-1773172500
1773171905926,0xfe49ba8c2a273fe7b46b7549dc8daddad9ce2b7b89a91a17b320a4d9e56a0a08,362932711315805593397285908539674682110865572842389540646965463875315620043,Down,0.49,0.5,3704.71,2532.09,0.495,0.010000000000000009,0.49,1644.71,0.48,981.0,0.47,1079.0,0.46,821.0,0.45,1076.0,0.5,116.09,0.51,1440.0,0.52,976.0,0.53,1079.0,0.54,821.0,BTC,5m,btc-updown-5m-1773175800
